id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
10-1,10,1,,あります,arimasu,"exist, be (referring to inanimate things)",,
10-2,10,2,,います,imasu,"exist, be (referring to animate things)",,
10-3,10,3,,いろいろ［な］,iroiro [na],various,,
10-4,10,4,男の 人,おとこの ひと,otokono hito,man,,
10-5,10,5,女の 人,おんなの ひと,onnano hito,woman,,
10-6,10,6,男の 子,おとこの こ,otokono ko,boy,,
10-7,10,7,女の 子,おんなの こ,onnano ko,girl,,
10-8,10,8,犬,いぬ,inu,dog,chó,Khuyển
10-9,10,9,猫,ねこ,neko,cat,mèo,Miêu
10-10,10,10,,パンダ,panda,panda,,
10-11,10,11,象,ぞう,zō,elephant,voi,Tượng
10-12,10,12,木,き,ki,"tree, wood","cây, gỗ",Mộc
10-13,10,13,物,もの,mono,thing,vật. đồ vật,Vật
10-14,10,14,電池,でんち,denchi,battery,pin,Điện - Trì
10-15,10,15,箱,はこ,hako,box,hộp,Tương
10-16,10,16,,スイッチ,suitchi,switch,,
10-17,10,17,冷蔵庫,れいぞうこ,reizōko,refrigerator,tủ lạnh,Lãnh - Táng - Khố
10-18,10,18,,テーブル,tēburu,table,,
10-19,10,19,,ベッド,beddo,bed,,
10-20,10,20,棚,たな,tana,shelf,"kệ sách, giá sách",Bằng
10-21,10,21,,ドア,doa,door,,
10-22,10,22,窓,まど,mado,window,cửa sổ,Song
10-23,10,23,,ポスト,posuto,"mailbox, postbox",,
10-24,10,24,,ビル,biru,building,,
10-25,10,25,,ATM,ATM,"cash machine, ATM (Automatic Teller Machine)",,
10-26,10,26,,コンビニ,konbini,convenience store,,
10-27,10,27,公園,こうえん,kōen,park,công viên,Công - Viên
10-28,10,28,喫茶店,きっさてん,kissaten,"café, coffee shop",quán giải khát,Khiết - Trà - Điếm
10-29,10,29,～屋,～や,~ya,"～ shop, ～ store","hiệu ~, cửa hàng ~, người bán ~",Ốc
10-30,10,30,乗り場,のりば,noriba,"a fixed place to catch taxis, trains, etc.","điểm đón (taxi, tàu,...)",Thừa - Trường
10-31,10,31,県,けん,ken,prefecture,tỉnh,Huyện
10-32,10,32,上,うえ,ue,"on, above, over",trên,Thượng
10-33,10,33,下,した,shita,"under, below, beneath",dưới,Hạ
10-34,10,34,前,まえ,mae,"front, before",trước,Tiền
10-35,10,35,,うしろ,ushiro,"back, behind",,
10-36,10,36,右,みぎ,migi,right [side],bên phải,Hữu
10-37,10,37,左,ひだり,hidari,left [side],bên trái,Tả
10-38,10,38,中,なか,naka,"in, inside","trong, giữa",Trung
10-39,10,39,外,そと,soto,outside,ngoài,Ngoại
10-40,10,40,隣,となり,tonari,"next, next door",bên cạnh,Lân
10-41,10,41,近く,ちかく,chikaku,"near, vicinity",gần,Cận
10-42,10,42,間,あいだ,aida,"between, among","giữa, ở giữa",Gian
10-43,10,43,,～や ～［など］,~ya ~ [nado],"～, ～, and so on",,
10-44,10,44,,［どうも］すみません。,[dōmo] sumimasen.,Thank you.,,
10-45,10,45,,ナンプラー,nanpurā,nam pla,,
10-46,10,46,,コーナー,kōnā,"corner, section",,
10-47,10,47,いちばん 下,いちばん した,ichiban shita,the bottom,,
10-48,10,48,東京 ディズニーランド,とうきょう ディズニーランド,tōkyō dizuniirando,Tokyo Disneyland,,
10-49,10,49,,アジアストア,ajiasutoa,a fictitious supermarket,,
10-50,10,50,,フィルム,firumu,film,,
10-51,10,51,本屋,ほんや,hon'ya,bookstore,,
10-52,10,52,,いちばん ～,ichiban ~,the most ～ (いちばん うえ : the top),,
10-53,10,53,－段目,－だんめ,~danme,the -th shelf (だん is the counter for shelves),,
10-54,10,54,,チリソース,chirisōsu,chilli sauce,,
10-55,10,55,奥,おく,oku,the back,1 trăm triệu,Ức
10-56,10,56,,スパイス・コーナー,supaisu kōnā,spice corner,,
10-57,10,57,,ユニューア・ストア,yunyūa sutoa,fictitious supermarket,,
