id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
31-1,31,1,続けます,つづけます,tsuzukemasu,continue,tiếp tục,Tục
31-2,31,2,見つけます,みつけます,mitsukemasu,find,tìm,Kiến
31-3,31,3,受けます［試験を～］,うけます［しけんを～］,ukemasu [shikenwo~],take [an examination],,
31-4,31,4,休憩します,きゅうけいします,kyūkeishimasu,"take a break, take a rest","nghỉ ngơi, nghỉ giải lao",Hưu - Khế
31-5,31,5,連休,れんきゅう,renkyū,consecutive holidays,ngày nghỉ liên tục,Liên - Hưu
31-6,31,6,作文,さくぶん,sakubun,"essay, composition",bài tập làm văn,Tác - Văn
31-7,31,7,発表,はっぴょう,happyō,"announcement, presentation (～します : announce)","phát biểu, công bố",Phát - Biểu
31-8,31,8,展覧会,てんらんかい,tenrankai,exhibition,cuộc triển lãm,Triển - Lãm - Hội
31-9,31,9,結婚式,けっこんしき,kekkonshiki,wedding ceremony,lễ cưới,Kết - Hôn - Thức
31-10,31,10,［お］葬式,［お］そうしき,[o] sōshiki,funeral,,
31-11,31,11,式,しき,shiki,ceremony,lễ,Thức
31-12,31,12,本社,ほんしゃ,honsha,head office,"trụ sở chính, tổng công ty",Bổn - Xã
31-13,31,13,支店,してん,shiten,branch office,chi nhánh,Chi - Điếm
31-14,31,14,教会,きょうかい,kyōkai,church,nhà thờ,Hiệp - Hội
31-15,31,15,大学院,だいがくいん,daigakuin,graduate school,cao học,Đại - Học - Viện
31-16,31,16,動物園,どうぶつえん,dōbutsuen,zoo,sở thú,Động - Vật - Viên
31-17,31,17,温泉,おんせん,onsen,"hot spring, spa",suối nước nóng,Ôn - Tuyền
31-18,31,18,帰り,かえり,kaeri,return,chiều về,Quy
31-19,31,19,－号,－ごう,-gō,"(train number, typhoon number, etc.)",,
31-20,31,20,～の 方,～の ほう,~no hou,"place toward ～, direction of ～",bên ~,Phương
31-21,31,21,,ずっと,zutto,the whole time,,
31-22,31,22,,バリ,bari,Bali (Indonesian island),,
31-23,31,23,,ピカソ,pikaso,"Pablo Picasso, Spanish painter (1881-1973)",,
31-24,31,24,,のぞみ,nozomi,name of a Shinkansen train (～４２号 : Nozomi Superexpress No.42),,
31-25,31,25,新神戸,しんこうべ,shinkōbe,name of a station in Hyogo prefecture,,
31-26,31,26,残ります,のこります,nokorimasu,"remain, be left, stay behind","ở lại, còn lại, dư ra",Tàn
31-27,31,27,入学試験,にゅうがくしけん,nyūgakushiken,entrance examination,kỳ thi đầu vào,Nhập - Học - Thí - Nghiệm
31-28,31,28,月に,つきに,tsukini,per month,trong 1 tháng,Nguyệt
31-29,31,29,村,むら,mura,village,làng,Thôn
31-30,31,30,卒業します,そつぎょうします,sotsugyōshimasu,graduate,tốt nghiệp,Tốt - Nghiệp
31-31,31,31,映画館,えいがかん,eigakan,"movie theater, cinema",rạp chiếu phim,Ảnh - Họa - Quán
31-32,31,32,閉じます,とじます,tojimasu,close,nhắm,Bế
31-33,31,33,都会,とかい,tokai,city,thành phố,Đô - Hội
31-34,31,34,始まります［式が～］,はじまります［しきが～］,hajimarimasu [shikiga~],"[a ceremony] begin, start",,
31-35,31,35,入学します［大学に～］,にゅうがくします［だいがくに～］,nyūgakushimasu [daigakuni~],enter [a university],,
31-36,31,36,出席します［会議に～］,しゅっせきします［かいぎに～］,shussekishimasu [kaigini~],attend [a meeting],,
31-37,31,37,お客［さん］,おきゃく［さん］,okyaku [san],"visitor, guest, customer, client",,
31-38,31,38,誰か,だれか,dareka,somebody,,
31-39,31,39,上野公園,うえのこうえん,uenokōen,Ueno Park (in Tokyo),,
31-40,31,40,普通の,ふつうの,futsūno,"ordinary, common, usual","thông thường, bình thường",Phổ - Thông
31-41,31,41,世界中,せかいじゅう,sekaijū,all over the world,trên toàn thế giới,Thế - Giới - Trung
31-42,31,42,集まります,あつまります,atsumarimasu,gather,"tập trung, tập họp, cùng nhau kéo về (người)",Tập
31-43,31,43,美しい,うつくしい,utsukushii,beautiful,đẹp,Mĩ
31-44,31,44,自然,しぜん,shizen,nature,tự nhiên,Tự - Nhiên
31-45,31,45,,すばらしさ,subarashisa,"goodness, virtue",,
31-46,31,46,気が つきます,きが つきます,kiga tsukimasu,"notice, become aware of",,
