id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
9-1,9,1,,わかります,wakarimasu,understand,,
9-2,9,2,,あります,arimasu,have,,
9-3,9,3,好き［な］,すき［な］,suki [na],like,,
9-4,9,4,嫌い［な］,きらい［な］,kirai [na],dislike,,
9-5,9,5,上手［な］,じょうず［な］,jōzu [na],good at,,
9-6,9,6,下手［な］,へた［な］,heta [na],poor at,,
9-7,9,7,飲み物,のみもの,nomimono,drinks,đồ uống,Ẩm - Vật
9-8,9,8,料理,りょうり,ryōri,"dish (cooked food), cooking (～を します : cook)","món ăn, việc nấu ăn",Liệu - Lý
9-9,9,9,,スポーツ,supōtsu,sport (～を します : play sports),,
9-10,9,10,野球,やきゅう,yakyū,baseball (～を します : play baseball),bóng chày,Dã - Cầu
9-11,9,11,,ダンス,dansu,dance (～を します : dance),,
9-12,9,12,旅行,りょこう,ryokō,"trip, tour (～［を］します : travel, make a trip)",du lịch,Lữ - Hành
9-13,9,13,音楽,おんがく,ongaku,music,âm nhạc,Âm - Lạc
9-14,9,14,歌,うた,uta,song,bài hát,Ca
9-15,9,15,,クラシック,kurashikku,classical music,,
9-16,9,16,,ジャズ,jazu,jazz,,
9-17,9,17,,コンサート,konsāto,concert,,
9-18,9,18,,カラオケ,karaoke,karaoke,,
9-19,9,19,歌舞伎,かぶき,kabuki,Kabuki (traditional Japanese musical drama),kabuki,Ca - Vũ - Kĩ
9-20,9,20,絵,え,e,"picture, drawing","tranh, hội họa",Hội
9-21,9,21,字,じ,ji,"letter, character",chữ,Tự
9-22,9,22,漢字,かんじ,kanji,Chinese characters,chữ hán,Hán - Tự
9-23,9,23,,ひらがな,hiragana,hiragana script,,
9-24,9,24,,かたかな,katakana,katakana script,,
9-25,9,25,ローマ字,ローマじ,rōmaji,the Roman alphabet,chữ la mã,Tự
9-26,9,26,細かい お金,こまかい おかね,komakai okane,small change,,
9-27,9,27,,チケット,chiketto,ticket,,
9-28,9,28,時間,じかん,jikan,time,~ tiếng,Thời - Gian
9-29,9,29,用事,ようじ,yōji,"something to do, errand","việc bận, công chuyện",Dụng - Sự
9-30,9,30,約束,やくそく,yakusoku,"appointment, promise (～［を］します : promise)","cuộc hẹn, lời hứa",Ước - Thú
9-31,9,31,,アルバイト,arubaito,side job (～を します : work part-time),,
9-32,9,32,ご主人,ごしゅじん,goshujin,(someone else's) husband,chồng (người khác),Chủ - Nhân
9-33,9,33,夫／主人,おっと／しゅじん,otto/shujin,(my) husband,,
9-34,9,34,奥さん,おくさん,okusan,(someone else's) wife,vợ (người khác),Áo
9-35,9,35,妻／家内,つま／かない,tsuma/kanai,(my) wife,,
9-36,9,36,子ども,こども,kodomo,child,con cái,Tử - Cung
9-37,9,37,,よく,yoku,"well, much",,
9-38,9,38,,だいたい,daitai,"mostly, roughly",,
9-39,9,39,,たくさん,takusan,"many, much",,
9-40,9,40,少し,すこし,sukoshi,"a little, a few","ít, một ít",Thiểu
9-41,9,41,全然,ぜんぜん,zenzen,not at all (used with negatives),hoàn toàn ~ không,Toàn - Nhiên
9-42,9,42,早く、速く,はやく,hayaku,"early, quickly, fast","sớm, nhanh",Tốc
9-43,9,43,,～から,~kara,because ～,,
9-44,9,44,,どうして,dōshite,why,,
9-45,9,45,貸して ください。,かして ください。,kashite kudasai.,Please lend (it to me),,
9-46,9,46,,いいですよ。,iidesuyo.,Sure./Certainly.,,
9-47,9,47,残念です［が］,ざんねんです［が］,zannendesu [ga],"I'm sorry [, but], unfortunately",,
9-48,9,48,,ああ,ā,oh,,
9-49,9,49,,いっしょに いかがですか。,isshoni ikagadesuka.,Won't you join me (us)?,,
9-50,9,50,,［～は］ちょっと……。,[~wa] chotto…….,[～] is a bit difficult. (a euphemism used when declining an invitation),,
9-51,9,51,,だめですか。,damedesuka.,So you can't (come)?,,
9-52,9,52,また 今度 お願いします。,また こんど おねがいします。,mata kondo onegaishimasu.,"Please ask me again some other time. (used when refusing an invitation indirectly, considering someone's feelings)",,
9-53,9,53,残念です［ね］。,ざんねんです［ね］。,zannendesu [ne].,I'm sorry (to hear that)./That's a pity.,,
9-54,9,54,,すみません。,sumimasen.,I am sorry.,,
9-55,9,55,,もしもし,moshimoshi,hello (used on the phone),,
9-56,9,56,小沢征爾,おざわせいじ,ozawaseiji,famous Japanese conductor (1935-),,
