id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
32-1,32,1,運動します,うんどうします,undōshimasu,(take) exercise,vận động,Vận - Động
32-2,32,2,成功します,せいこうします,seikōshimasu,succeed,thành công,Thành - Công
32-3,32,3,失敗します［試験に～］,しっぱいします［しけんに～］,shippaishimasu [shikenni~],fail [an examination],,
32-4,32,4,合格します［試験に～］,ごうかくします［しけんに～］,gōkakushimasu [shikenni~],pass [an examination],,
32-5,32,5,やみます［雨が～］,やみます［あめが～］,yamimasu [amega~],[rain] stop,,
32-6,32,6,晴れます,はれます,haremasu,clear up,quang đãng,Tình
32-7,32,7,曇ります,くもります,kumorimasu,get cloudy,có mây,Đàm
32-8,32,8,続づきます［熱が～］,つづきます［ねつが～］,tsuzukimasu [netsuga~],[high temperature/fever] continue,,
32-9,32,9,,ひきます［かぜを～］,hikimasu [kazewo~],catch [a cold],,
32-10,32,10,冷やします,ひやします,hiyashimasu,cool,"làm mát, làm lạnh",Lãnh
32-11,32,11,すきます［道が～］,すきます［みちが～］,sukimasu [michiga~],[a road] get less crowded,,
32-12,32,12,出ます［試合に～］,でます［しあいに～］,demasu [shiaini~],participate [in the match],,
32-13,32,13,出ます［パーティーに～］,でます［パーティーに～］,demasu [pāteiini~],attend [a party],,
32-14,32,14,無理を します,むりを します,muriwo shimasu,overdo things,,
32-15,32,15,十分［な］,じゅうぶん［な］,jūbun [na],"enough, sufficient",,
32-16,32,16,,おかしい,okashii,"strange, funny",,
32-17,32,17,,うるさい,urusai,noisy,,
32-18,32,18,先生,せんせい,sensei,doctor,thầy/cô,Tiên - Sinh
32-19,32,19,,やけど,yakedo,burning (～を します : get burned),"bỏng, bị bỏng",
32-20,32,20,,けが,kega,injury (～を します : get injured),"thương, bị thương",
32-21,32,21,,せき,seki,cough (～を します／～が でます : have a cough),"ghế, chỗ ngồi",Tịch
32-22,32,22,,インフルエンザ,infuruenza,influenza,,
32-23,32,23,太陽,たいよう,taiyō,sun,mặt trời,Thái - Dương
32-24,32,24,星,ほし,hoshi,star,sao,Tinh
32-25,32,25,風,かぜ,kaze,wind,gió,Phong
32-26,32,26,東,ひがし,higashi,east,đông,Đông
32-27,32,27,南,みなみ,minami,south,nam,Nam
32-28,32,28,北,きた,kita,north,bắc,Bắc
32-29,32,29,水道,すいどう,suidō,"faucet, tap, water supply",nước máy,Thủy - Đạo
32-30,32,30,,エンジン,enjin,engine,,
32-31,32,31,,チーム,chiimu,team,,
32-32,32,32,今夜,こんや,kon'ya,this evening,tối nay,Kim - Dạ
32-33,32,33,夕方,ゆうがた,yūgata,late afternoon,chiều tối,Tịch - Phương
32-34,32,34,,まえ,mae,"a time in the past, before",trước,Tiền
32-35,32,35,遅く,おそく,osoku,late (time),muộn,Trì
32-36,32,36,,こんなに,konnani,"this (much, etc.)",,
32-37,32,37,,そんなに,sonnani,"that (much, etc.) (concerning a matter related to the listener)",,
32-38,32,38,,あんなに,annani,"that (much, etc.) (concerning a matter not related to the speaker or the listener)",,
32-39,32,39,元気,げんき,genki,vigour,khỏe,Nguyên - Khí
32-40,32,40,胃,い,i,stomach,dạ dày,Vị
32-41,32,41,,ストレス,sutoresu,stress,,
32-42,32,42,,それは いけませんね。,sorewa ikemasenne.,I'm sorry to hear that.,,
32-43,32,43,星占い,ほしうらない,hoshiuranai,horoscope,"bói sao, chiêm tinh",Tinh - Chiêm
32-44,32,44,牡牛座,おうしざ,oushiza,Taurus,sao Kim Ngưu,Mẫu - Ngưu - Tọa
32-45,32,45,働きすぎ,はたらきすぎ,hatarakisugi,overworking,làm việc quá sức,Động
32-46,32,46,困ります,こまります,komarimasu,"be in trouble, have a problem",khó khăn,Khốn
32-47,32,47,宝くじ,たからくじ,takarakuji,lottery,,
32-48,32,48,当たります［宝くじが～］,あたります［たからくじが～］,atarimasu [takarakujiga~],win [a lottery],,
32-49,32,49,健康,けんこう,kenkō,health,sức khỏe,Kiện - Khang
32-50,32,50,恋愛,れんあい,ren'ai,romantic love,tình yêu,Luyến - Ái
32-51,32,51,恋人,こいびと,koibito,"sweetheart, boyfriend, girlfriend",người yêu,Luyến - Nhân
32-52,32,52,,ラッキーアイテム,rakkiiaitemu,something lucky,,
32-53,32,53,石,いし,ishi,stone,hòn đá,Thạch
32-54,32,54,戻ります,もどります,modorimasu,return,"trở lại, quay trở lại",Lệ
32-55,32,55,吹きます［風が～］,ふきます［かぜが～］,fukimasu [kazega~],[wind] blow,,
32-56,32,56,治ります［病気が～］,なおります［びょうきが～］,naorimasu [byōkiga~],"recover from [sickness], get well",,
32-57,32,57,直ります［故障が～］,なおります［こしょうが～］,naorimasu [koshōga~],"be fixed, be repaired",,
32-58,32,58,,もしかしたら,moshikashitara,"possibly, perhaps",,
32-59,32,59,,オリンピック,orinpikku,Olympic Games,,
32-60,32,60,,ゆっくり します,yukkuri shimasu,take one's time,,
32-61,32,61,［お］金持ち,［お］かねもち,[o] kanemochi,rich person,,
