id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
20-1,20,1,要ります［ビザが～］,いります［ビザが～］,irimasu [bizaga~],"need, require [a visa]",,
20-2,20,2,調べます,しらべます,shirabemasu,"check, investigate","tìm hiểu, kiểm tra, điều tra",Điều
20-3,20,3,修理します,しゅうりします,shūrishimasu,repair,"sữa chữa, tu sửa",Tu - Lí
20-4,20,4,僕,ぼく,boku,I (an informal equivalent of わたし used by men),,
20-5,20,5,君,きみ,kimi,you (an informal equivalent of あなた used to address people of equal or lower status),,
20-6,20,6,～君,～くん,~kun,Mr. (an informal equivalent of ～さん used to address people of equal or lower status; also often appended to boys' names),,
20-7,20,7,,うん,un,yes (an informal equivalent of はい),,
20-8,20,8,,ううん,uun,no (an informal equivalent of いいえ),,
20-9,20,9,,ことば,kotoba,"word, language",,
20-10,20,10,着物,きもの,kimono,kimono (traditional Japanese attire),kimono,Trước - Vật
20-11,20,11,ビサ,ビザ,biza,visa,,
20-12,20,12,初め,はじめ,hajime,the beginning,"ban đầu, đầu tiên",Sơ
20-13,20,13,終わり,おわり,owari,"the end of ～, The End",kết thúc,Chung
20-14,20,14,,こっち,kotchi,"this way, this place (an informal equivalent of こちら)",,
20-15,20,15,,そっち,sotchi,"that way, that place near the listener (an informal equivalent of そちら)",,
20-16,20,16,,あっち,atchi,"that way, that place over there (an informal equivalent of あちら)",,
20-17,20,17,,どっち,dotchi,"which one (between two things), which way, where (an informal equivalent of dochira)",,
20-18,20,18,,みんなで,minnade,all together,,
20-19,20,19,,～けど,~kedo,"～, but (an informal equivalent of が)",,
20-20,20,20,,おなかが いっぱいです,onakaga ippaidesu,(I'm) full,,
20-21,20,21,,よかったら,yokattara,if you like,,
20-22,20,22,,いろいろ,iroiro,various,,
20-23,20,23,直します,なおします,naoshimasu,"repair, correct","sửa, chữa, đính chính (ko có động cơ)",Trực
20-24,20,24,,サラリーマン,sarariiman,"salaried worker, office worker",,
20-25,20,25,物価,ぶっか,bukka,commodity prices,"giá cả, mức giá, vật giá",Vật - Giá
20-26,20,26,この間,このあいだ,konoaida,the other day,"vừa rồi, hôm nọ, gần đây, mới đây",Gian
20-27,20,27,国へ 帰るの？,くにへ かえるの？,kunihe kaeruno？,Are you going back to your country?,,
20-28,20,28,,どう するの？,dō suruno?,What will you do?,,
20-29,20,29,,どう しようかな。,dō shiyoukana.,What shall I do?,,
