id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
22-1,22,1,着ます,きます,kimasu,"put on (a shirt, etc.)","mặc (áo sơ mi,...)",Trước
22-2,22,2,,はきます,hakimasu,"put on (shoes, trousers, etc.)",,
22-3,22,3,,かぶります,kaburimasu,"put on (a hat, etc.)",,
22-4,22,4,かけます［眼鏡を～］,かけます［めがねを～］,kakemasu [meganewo~],put on [glasses],,
22-5,22,5,,します［ネクタイを～］,shimasu [nekutaiwo~],put on [tie],,
22-6,22,6,生まれます,うまれます,umaremasu,be born,(được) sinh ra,Sinh
22-7,22,7,,コート,kōto,coat,,
22-8,22,8,,セーター,sētā,sweater,,
22-9,22,9,,スーツ,sūtsu,suit,,
22-10,22,10,帽子,ぼうし,bōshi,"hat, cap","cái mũ, mũ",Mạo - Tử
22-11,22,11,眼鏡,めがね,megane,glasses,"kính, kính đeo mắt",Nhãn - Kính
22-12,22,12,［お］弁当,［お］べんとう,[o] bentō,box lunch,,
22-13,22,13,,ロボット,robotto,robot,,
22-14,22,14,都合,つごう,tsugō,convenience,"(sự) thuận tiện, thuận lợi",Đô - Hợp
22-15,22,15,,よく,yoku,often,,
22-16,22,16,,おめでとう［ございます］。,omedetō [gozaimasu].,"Congratulations. (used on birthdays, at weddings, New Year's Day, etc.)",,
22-17,22,17,お探しですか。,おさがしですか。,osagashidesuka.,Are you looking for ～?,,
22-18,22,18,,では,dewa,"Well then,",,
22-19,22,19,,こちら,kochira,this (polite equivalent of これ),,
22-20,22,20,家賃,やちん,yachin,rent,tiền thuê nhà,Gia - Nhẫm
22-21,22,21,,ダイニングキチン,dainingukichin,kitchen with a dining area,,
22-22,22,22,和室,わしつ,washitsu,Japanese-style room,phòng kiểu Nhật,Hòa - Thất
22-23,22,23,押し入れ,おしいれ,oshiire,Japanese-style closet,"tủ âm tường,  chỗ để chăn gối",Áp - Nhập
22-24,22,24,布団,ふとん,futon,Japanese-style mattress and quilt,chăn đệm kiểu Nhật,Bố - Đoàn
22-25,22,25,,パリ,pari,Paris,,
22-26,22,26,万里の 長城,ばんりの ちょうじょう,banrino chōjō,the Great Wall of China,,
22-27,22,27,,みんなの アンケート,minnano ankēto,title of a fictitious questionnaire,,
22-28,22,28,,うーん。,uun.,Let me see.,,
22-29,22,29,,アパート,apāto,apartment,,
22-30,22,30,余暇開発センター,よかかいはつセンター,yokakaihatsu sentā,Center for Developing Leisure Activities,,
22-31,22,31,レジャー白書,レジャーはくしょ,rejāhakusho,white paper on leisure,,
