id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
47-1,47,1,燃えます［ごみが～］,もえます［ごみが～］,moemasu [gomiga~],[rubbish] burn,,
47-2,47,2,亡くなります,なくなります,nakunarimasu,pass away (euphemistic expression for しにます),qua đời,Vong
47-3,47,3,集まります［人が～］,あつまります［ひとが～］,atsumarimasu [hitoga~],[people] gather,,
47-4,47,4,別れます［人が～］,わかれます［ひとが～］,wakaremasu [hitoga~],"[people] part, separate",,
47-5,47,5,します［音／声が～］,します［おと／こえが～］,shimasu [oto/koega~],[sound/voice] be heard,,
47-6,47,6,します［味が～］,します［あじが～］,shimasu [ajiga~],taste,,
47-7,47,7,,します［においが～］,shimasu [nioiga~],smell,,
47-8,47,8,厳しい,きびしい,kibishii,"strict, hard",nghiêm khắc,Nghiêm
47-9,47,9,,ひどい,hidoi,"terrible, severe",,
47-10,47,10,怖い,こわい,kowai,"frightening, horrible","sợ, đáng sợ",Bố
47-11,47,11,実験,じっけん,jikken,experiment,thực nghiệm,Thực - Nghiệm
47-12,47,12,人口,じんこう,jinkō,population,dân số,Nhân - Khẩu
47-13,47,13,,におい,nioi,smell,,
47-14,47,14,科学,かがく,kagaku,science,khoa học,Khoa - Học
47-15,47,15,医学,いがく,igaku,"medicine, medical science",y học,Y - Học
47-16,47,16,文学,ぶんがく,bungaku,literature,văn học,Văn - Học
47-17,47,17,,パトカー,patokā,police car,,
47-18,47,18,救急車,きゅうきゅうしゃ,kyūkyūsha,ambulance,xe cấp cứu,Cứu - Cấp - Xa
47-19,47,19,賛成,さんせい,sansei,"approval, agreement",tán thành,Tán - Thành
47-20,47,20,反対,はんたい,hantai,"objection, opposition",phản đối,Phản - Đối
47-21,47,21,,～に よると,~ni yoruto,according to ～ (indicates the source of information),,
47-22,47,22,婚約します,こんやくします,kon'yakushimasu,get engaged,"đính ước, ăn hỏi",Hôn - Ước
47-23,47,23,,どうも,dōmo,it seems that (used when making a tentative judgement),,
47-24,47,24,化粧,けしょう,keshō,makeup (～を します : put on makeup),trang điểm,Hóa - Trang
47-25,47,25,女性,じょせい,josei,"female, woman","phụ nữ, nữ",Nữ - Tính
47-26,47,26,男性,だんせい,dansei,"male, man","nam giới, nam",Nam - Tính
47-27,47,27,長生き,ながいき,nagaiki,long life (～します : live long),thọ (sống lâu),Trường - Sinh
47-28,47,28,発表,はっぴょう,happyō,"announcement, presentation","phát biểu, công bố",Phát - Biểu
47-29,47,29,バリ［島］,バリ［とう］,bari [tou],Bali [island] (in Indonesia),,
47-30,47,30,,イラン,iran,Iran,,
47-31,47,31,,カリフォルニア,kariforunia,California (in U.S.A.),,
47-32,47,32,,グアム,guamu,Guam,,
47-33,47,33,平均寿命,へいきんじゅみょう,heikinjumyō,average life span,,
47-34,47,34,比べます［男性と～］,くらべます［だんせいと～］,kurabemasu [danseito~],compare [with men],,
47-35,47,35,博士,はかせ,hakase,doctor,,
47-36,47,36,脳,のう,nō,brain,,
47-37,47,37,,ホルモン,horumon,hormone,,
47-38,47,38,化粧品,けしょうひん,keshōhin,cosmetics,,
47-39,47,39,調べ,しらべ,shirabe,"survey, research",,
