id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
3-1,3,1,,ここ,koko,"here, this place",,
3-2,3,2,,そこ,soko,"there, that place near the listener",,
3-3,3,3,,あそこ,asoko,that place over there,,
3-4,3,4,,どこ,doko,"where, what place",,
3-5,3,5,,こちら,kochira,"this way, this place (polite equivalent of ここ)",,
3-6,3,6,,そちら,sochira,"that way, that place near the listener (polite equivalent of そこ)",,
3-7,3,7,,あちら,achira,"that way, that place over there (polite equivalent of あそこ)",,
3-8,3,8,,どちら,dochira,"which way, where (polite equivalent of どこ)",,
3-9,3,9,教室,きょうしつ,kyōshitsu,classroom,lớp học ~,Giáo - Thất
3-10,3,10,食堂,しょくどう,shokudō,"dining hall, canteen",nhà ăn,Thực - Đường
3-11,3,11,事務所,じむしょ,jimusho,office,văn phòng,Sự - Vụ - Sở
3-12,3,12,会議室,かいぎしつ,kaigishitsu,"conference room, meeting room",phòng họp,Hội - Nghị - Thất
3-13,3,13,受付,うけつけ,uketsuke,reception desk,"quầy lễ tân, phòng thường trực",Thụ - Phó
3-14,3,14,,ロビー,robii,lobby,,
3-15,3,15,部屋,へや,heya,room,căn phòng,Bộ - Ốc
3-16,3,16,トイレ（お手洗い）,トイレ（おてあらい）,toire (otearai),"toilet, rest room",,
3-17,3,17,階段,かいだん,kaidan,staircase,cầu thang,Giai - Đoạn
3-18,3,18,,エレベーター,erebētā,"lift, elevator",,
3-19,3,19,,エスカレーター,esukarētā,escalator,,
3-20,3,20,自動販売機,じどうはんばいき,jidōhanbaiki,vending machine,máy bán hàng tự động,Tự - Động - Phiến - Mại - Cơ
3-21,3,21,電話,でんわ,denwa,"telephone handset, telephone call",điện thoại,Điện - Thoại
3-22,3,22,［お］国,［お］くに,[o] kuni,country,,
3-23,3,23,会社,かいしゃ,kaisha,company,công ty,Hội - Xã
3-24,3,24,,うち,uchi,"house, home",,
3-25,3,25,靴,くつ,kutsu,shoes,giày,Ngoa
3-26,3,26,,ネクタイ,nekutai,"tie, necktie",,
3-27,3,27,,ワイン,wain,wine,,
3-28,3,28,売り場,うりば,uriba,"department, counter (in a department store, etc.)",quầy bán,Mại - Trường
3-29,3,29,地下,ちか,chika,basement,tầng hầm,Địa - Hạ
3-30,3,30,－階,－かい（－がい）,-kai (-gai),-th floor,,
3-31,3,31,何階,なんがい,nangai,what floor,tầng mấy,Hà - Giai
3-32,3,32,－円,－えん,-en,－ yen,,
3-33,3,33,,いくら,ikura,how much,,
3-34,3,34,百,ひゃく,hyaku,hundred,trăm,Bách
3-35,3,35,千,せん,sen,thousand,đường kẻ,Tuyến
3-36,3,36,万,まん,man,ten thousand,mười nghìn,Vạn
3-37,3,37,,すみません。,sumimasen.,Excuse me.,,
3-38,3,38,,どうも。,dōmo.,Thanks.,,
3-39,3,39,,いらっしゃいませ。,irasshaimase.,"Welcome./May I help you? (a greeting to a customer or a guest entering a shop, etc.)",,
3-40,3,40,［～を］見せて ください。,［～を］みせて ください。,[~wo] misete kudasai.,Please show me [～].,,
3-41,3,41,,じゃ,ja,"well, then, in that case",,
3-42,3,42,,［～を］ください。,[~wo] kudasai.,"Give me [～], please.",,
3-43,3,43,,イタリア,itaria,Italy,,
3-44,3,44,,スイス,suisu,Switzerland,,
3-45,3,45,,ジャカルタ,jakaruta,Jakarta,,
3-46,3,46,,バンコク,bankoku,Bangkok,,
3-47,3,47,,ベルリン,berurin,Berlin,,
3-48,3,48,新大阪,しんおおさか,shin'ōsaka,name of a station in Osaka,,
3-49,3,49,,たばこ,tabako,"tobacco, cigarette",,
3-50,3,50,,～で ございます。,~de gozaimasu.,(polite equivalent of です),,
3-51,3,51,,MT／ヨーネン／アキックス,MT/yōnen/akikkusu,fictitious companies,,
