id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
30-1,30,1,,はります,harimasu,"put up, post, paste",,
30-2,30,2,掛けます,かけます,kakemasu,hang,ngồi xuống (ghế),Quải
30-3,30,3,飾ります,かざります,kazarimasu,"display, decorate",trang trí,Sức
30-4,30,4,並べます,ならべます,narabemasu,"arrange, line up",sắp xếp,Tịnh
30-5,30,5,植えます,うえます,uemasu,plant,trồng,"Thực, Trĩ"
30-6,30,6,戻します,もどします,modoshimasu,"return, put ～ back",để lại,Lệ
30-7,30,7,,まとめます,matomemasu,"put ～ together, put ～ in shape, sum up",,
30-8,30,8,,しまいます,shimaimasu,put (things) away,,
30-9,30,9,決めます,きめます,kimemasu,decide,quyết định,Quyết
30-10,30,10,予習します,よしゅうします,yoshūshimasu,prepare one's lesson,chuẩn bị bài,Dự - Tập
30-11,30,11,復習します,ふくしゅうします,fukushūshimasu,review one's lesson,ôn tập,Phục - Tập
30-12,30,12,,そのままに します,sonomamani shimasu,leave thing as they are,,
30-13,30,13,授業,じゅぎょう,jugyō,class,giờ học,Thụ - Nghiệp
30-14,30,14,講義,こうぎ,kōgi,lecture,"bài giảng, bài thuyết trình",Giảng - Nghĩa
30-15,30,15,,ミーティング,miiteingu,meeting,,
30-16,30,16,予定,よてい,yotei,"plan, schedule","dự định, kế hoạch",Dự - Định
30-17,30,17,,ガイドブック,gaidobukku,guidebook,,
30-18,30,18,,カレンダー,karendā,calendar,,
30-19,30,19,,ポスター,posutā,poster,,
30-20,30,20,予定表,よていひょう,yoteihyō,schedule,"lịch làm việc, thời khóa biểu",Dự - Định - Biểu
30-21,30,21,ごみ箱,ごみばこ,gomibako,"trash can, dustbin",thùng rác,"Tương, Sương"
30-22,30,22,人形,にんぎょう,ningyō,doll,búp bê,Nhân - Hình
30-23,30,23,花瓶,かびん,kabin,vase,bình hoa,Hoa - Bình
30-24,30,24,鏡,かがみ,kagami,mirror,gương,Kính
30-25,30,25,引き出し,ひきだし,hikidashi,drawer,ngăn kéo,Dẫn - Xuất
30-26,30,26,玄関,げんかん,genkan,"front door, porch, entrance hall","lối vào nhà, sảnh vào nhà",Huyền - Quan
30-27,30,27,廊下,ろうか,rōka,"corridor, hallway",hành lang,Lang - Hạ
30-28,30,28,池,いけ,ike,pond,"ao, hồ",Trì
30-29,30,29,元の 所,もとの ところ,motono tokoro,original place,,
30-30,30,30,周り,まわり,mawari,"round, around",xung quanh,Chu
30-31,30,31,真ん中,まんなか,mannaka,center,chính giữa,Chân - Trung
30-32,30,32,隅,すみ,sumi,corner,góc,Ôi
30-33,30,33,,まだ,mada,still,,
30-34,30,34,,リュック,ryukku,rucksack,,
30-35,30,35,非常袋,ひじょうぶくろ,hijōbukuro,emergency kit,túi khuẩn cấp,Phi - Thường - Đại
30-36,30,36,非常時,ひじょうじ,hijōji,emergency,trường hợp khuẩn cấp,Phi - Thường - Thời
30-37,30,37,生活します,せいかつします,seikatsushimasu,live,"sinh hoạt, sống",Sinh - Hoạt
30-38,30,38,懐中電灯,かいちゅうでんとう,kaijūdentō,"torch, flashlight",đèn pin bỏ túi,Hoài - Trung - Điện - Đăng
30-39,30,39,,～とか、～とか,"~toka, ~toka","～, ～, and so on",,
30-40,30,40,丸い,まるい,marui,round,tròn,Hoàn
30-41,30,41,,ある ～,aru ~,"one ～, a certain ～",,
30-42,30,42,夢を 見ます,ゆめを みます,yumewo mimasu,dream,,
30-43,30,43,,うれしい,ureshii,"glad, happy",,
30-44,30,44,嫌［な］,いや［な］,iya [na],"hateful, disagreeable",,
30-45,30,45,,すると,suruto,"and, then",,
30-46,30,46,目が 覚めます,めが さめます,mega samemasu,wake up,,
30-47,30,47,片付けます,かたづけます,katazukemasu,"put things in order, tidy up",dọn dẹp,Phiến - Phó
30-48,30,48,知らせます,しらせます,shirasemasu,inform,thông báo,Tri
30-49,30,49,相談します,そうだんします,sōdanshimasu,"consult, discuss","nói chuyện, thảo luận",Tương - Đàm
30-50,30,50,お子さん,おこさん,okosan,(someone else's) child,con (người khác),Tử
30-51,30,51,案内書,あんないしょ,annaisho,guide book,,
30-52,30,52,,～ほど,~hodo,about ～,,
30-53,30,53,ご苦労さま。,ごくろうさま。,gokurōsama.,Thank you for your hard work. (used by a superior or older person to express appreciation for a subordinate's work),,
30-54,30,54,希望,きぼう,kibō,"hope, request",,
30-55,30,55,何か ご希望が ありますか。,なにか ごきぼうが ありますか。,nanika gokibōga arimasuka.,Do you have any requests?,,
30-56,30,56,,ミュージカル,myūjikaru,musical,,
30-57,30,57,,それは いいですね。,sorewa iidesune.,That's a good idea./That sounds nice.,,
30-58,30,58,,ブロードウェイ,burōdouei,Broadway,,
