id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
23-1,23,1,聞きます［先生に～］,ききます［せんせいに～］,kikimasu [senseini~],ask [the teacher],,
23-2,23,2,回します,まわします,mawashimasu,turn,vặn,Hồi
23-3,23,3,引きます,ひきます,hikimasu,pull,kéo,Dẫn
23-4,23,4,変えます,かえます,kaemasu,change,"thay đổi, biến đổi",Biến
23-5,23,5,触ります［ドアに～］,さわります［ドアに～］,sawarimasu [doani~],touch [a door],,
23-6,23,6,出ます［お釣りが～］,でます［おつりが～］,demasu [otsuriga~],[change] come out,,
23-7,23,7,歩きます,あるきます,arukimasu,walk,đi bộ,Bộ
23-8,23,8,渡ります［橋を～］,わたります［はしを～］,watarimasu [hashiwo~],cross [a bridge],,
23-9,23,9,［お］湯,［お］ゆ,[o] yu,hot water,,
23-10,23,10,音,おと,oto,sound,âm thanh,Âm
23-11,23,11,,サイズ,saizu,size,,
23-12,23,12,故障,こしょう,koshō,breakdown (～します : break down),"hỏng, hỏng hóc",Cố - Chướng
23-13,23,13,道,みち,michi,"road, way",đường,Đạo
23-14,23,14,交差点,こうさてん,kōsaten,crossroads,ngã tư,Giao - Soa - Điểm
23-15,23,15,信号,しんごう,shingō,traffic light,"đèn giao thông,  đèn tín hiệu",Tín - Hiệu
23-16,23,16,角,かど,kado,corner,góc,Giác
23-17,23,17,橋,はし,hashi,bridge,cầu,Đoan
23-18,23,18,駐車場,ちゅうしゃじょう,chūshajō,"car park, parking lot",bãi đỗ xe,Trú - Xa - Trường
23-19,23,19,建物,たてもの,tatemono,building,tòa nhà,Kiến - Vật
23-20,23,20,－目,－め,-me,the -th (indicating order),,
23-21,23,21,聖徳太子,しょうとくたいし,shōtokutaishi,Prince Shotoku (574-622),,
23-22,23,22,法隆寺,ほうりゅうじ,hōryūji,"Horyuji Temple, a temple in Nara Prefecture built by Prince Shotoku at the beginning of the 7th century",,
23-23,23,23,元気茶,げんきちゃ,genkicha,a fictitious tea,,
23-24,23,24,本田駅,ほんだえき,hondaeki,a fictitious station,,
23-25,23,25,図書館前,としょかんまえ,toshokanmae,a fictitious bus stop,,
23-26,23,26,動きます［時計が～］,うごきます［とけいが～］,ugokimasu [tokeiga~],"[a watch] move, work",,
23-27,23,27,気を つけます［車に～］,きを つけます［くるまに～］,kiwo tsukemasu [kurumani~],"pay attention [to cars], take care",,
23-28,23,28,引っ越しします,ひっこしします,hikkoshishimasu,move (house),,
23-29,23,29,電気屋,でんきや,denkiya,electrician,,
23-30,23,30,～屋,～や,~ya,person of ～ shop,"hiệu ~, cửa hàng ~, người bán ~",Ốc
23-31,23,31,機械,きかい,kikai,machine,cơ hội,Cơ - Hội
23-32,23,32,,つまみ,tsumami,knob,,
23-33,23,33,外国人登録証,がいこくじんとうろくしょう,gaikokujintōrokushō,alien registration card,,
