id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
16-1,16,1,乗ります［電車に～］,のります［でんしゃに～］,norimasu [denshani~],"ride, get on [a train]",,
16-2,16,2,降ります［電車を～］,おります［でんしゃを～］,orimasu [denshawo~],get off,,
16-3,16,3,乗り換えます,のりかえます,norikaemasu,"change (trains, etc.)","chuyển, đổi (tàu)",Thừa - Hoán
16-4,16,4,浴びます［シャワーを～］,あびます［シャワーを～］,abimasu [shawāwo~],take [a shower],,
16-5,16,5,入れます,いれます,iremasu,"put in, insert",bật,Nhập
16-6,16,6,出します,だします,dashimasu,"take out, hand in, send","đổ, để",Xuất
16-7,16,7,下ろします［お金を～］,おろします［おかねを～］,oroshimasu [okanewo~],withdraw,,
16-8,16,8,入ります［大学に～］,はいります［だいがくに～］,hairimasu [daigakuni~],enter [university],,
16-9,16,9,出ます［大学を～］,でます［だいがくを～］,demasu [daigakuwo~],graduate from [university],,
16-10,16,10,押します,おします,oshimasu,"push, press",đóng (dấu),Áp
16-11,16,11,飲みます,のみます,nomimasu,drink alcohol,uống,Ẩm
16-12,16,12,見学します,けんがくします,kengakushimasu,"tour, visit a place to study it","tham quan, kiến tập",Kiến - Học
16-13,16,13,電話します,でんわします,denwashimasu,phone,gọi điện thoại,Điện - Thoại
16-14,16,14,若い,わかい,wakai,young,trẻ,Nhược
16-15,16,15,長い,ながい,nagai,long,dài,Trường
16-16,16,16,短い,みじかい,mijikai,short,ngắn,Đoản
16-17,16,17,明るい,あかるい,akarui,"bright, light",sáng chói,Minh
16-18,16,18,暗い,くらい,kurai,dark,tối tăm,Ám
16-19,16,19,体,からだ,karada,"body, health",cơ thể,Thể
16-20,16,20,頭,あたま,atama,"head, brain",đầu,Đầu
16-21,16,21,髪,かみ,kami,hair,tóc,Phát
16-22,16,22,顔,かお,kao,face,mặt,Nhan
16-23,16,23,目,め,me,eye,mắt,Mục
16-24,16,24,耳,みみ,mimi,ear,tai,Nhĩ
16-25,16,25,鼻,はな,hana,nose,mũi,Tị
16-26,16,26,口,くち,kuchi,mouth,miệng,Khẩu
16-27,16,27,歯,は,ha,tooth,lá,Diệp
16-28,16,28,,おなか,onaka,stomach,,
16-29,16,29,足,あし,ashi,"leg, foot",chân,Túc
16-30,16,30,背,せ,se,height,"lưng, chiều cao (cơ thể)",Bối
16-31,16,31,,サービス,sābisu,service,,
16-32,16,32,,ジョギング,jogingu,jogging (～を します : jog),,
16-33,16,33,,シャワー,shawā,shower,,
16-34,16,34,緑,みどり,midori,"green, greenery",màu xanh lá,Lục
16-35,16,35,［お］寺,［お］てら,[o] tera,Buddhist temple,,
16-36,16,36,神社,じんじゃ,jinja,Shinto shrine,đền thờ đạo Thần,Thần - Xã
16-37,16,37,－番,－ばん,-ban,number －,,
16-38,16,38,,どうやって,dōyatte,"in what way, how",,
16-39,16,39,,どの ～,dono ~,which ～ (used for three or more),,
16-40,16,40,,どれ,dore,which one (of three or more things),,
16-41,16,41,,すごいですね。,sugoidesune.,That's amazing!,,
16-42,16,42,,［いいえ、］まだまだです。,"[iie,] madamadadesu.","[No,] I still have a long way to go.",,
16-43,16,43,お引き出しですか。,おひきだしですか。,ohikidashidesuka.,Are you making a withdrawal?,,
16-44,16,44,,まず,mazu,first of all,,
16-45,16,45,次に,つぎに,tsugini,"next, as a next step","tiếp theo, sau đó",Thứ
16-46,16,46,,キャッシュカード,kyasshukādo,cash dispensing card,,
16-47,16,47,暗証番号,あんしょうばんごう,anshōbangō,"personal identification number, PIN",mật khẩu,Ám - Chứng - Phiên - Hiệu
16-48,16,48,金額,きんがく,kingaku,amount of money,"số tiền, khoản tiền",Kim - Ngạch
16-49,16,49,確認,かくにん,kakunin,confirmation (～します : confirm),sự xác nhận,Xác - Nhận
16-50,16,50,,ボタン,botan,button,,
16-51,16,51,,JR,JR,Japan Railways,,
16-52,16,52,雪祭り,ゆきまつり,yukimatsuri,Snow Festival,,
16-53,16,53,,バンドン,bandon,Bandung (in Indonesia),,
16-54,16,54,,フランケン,furanken,Franken (in Germany),,
16-55,16,55,,ベラクルス,berakurusu,Veracruz (in Mexico),,
16-56,16,56,梅田,うめだ,umeda,a district in Osaka,,
16-57,16,57,大学前,だいがくまえ,daigakumae,a fictitious bus stop,,
16-58,16,58,やめます［会社を～］,やめます［かいしゃを～］,yamemasu [kaishawo~],"quit or retire from [a company], stop, give up",,
16-59,16,59,背が 高い,せが たかい,sega takai,tall (referring to person),,
16-60,16,60,頭が いい,あたまが いい,atamaga ii,"clever, smart",,
16-61,16,61,,アジア,ajia,Asia,,
16-62,16,62,,ベトナム,betonamu,Vietnam,,
16-63,16,63,,フエ,fue,Hue (in Vietnam),,
