id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
26-1,26,1,見ます、診ます,みます,mimasu,"check, take a look at","kiểm tra, khám bệnh",Kiến - Chẩn
26-2,26,2,探します、捜します,さがします,sagashimasu,"look for, search","tìm, tìm kiếm",Thám - Sưu
26-3,26,3,遅れます［時間に～］,おくれます［じかんに～］,okuremasu [jikanni~],"be late [for an appointment, etc.]",,
26-4,26,4,間に 合います［時間に～］,まに あいます［じかんに～］,mani aimasu [jikanni~],"be in time [for an appointment, etc.]",,
26-5,26,5,,やります,yarimasu,do,,
26-6,26,6,拾います,ひろいます,hiroimasu,pick up,"nhặt, lượm",Thập
26-7,26,7,連絡します,れんらくします,renrakushimasu,"contact, get in touch with",liên lạc,Liên - Lạc
26-8,26,8,気分が いい,きぶんが いい,kibunga ii,feel well,,
26-9,26,9,気分が 悪い,きぶんが わるい,kibunga warui,feel ill,,
26-10,26,10,運動会,うんどうかい,undōkai,"athletic meeting, sports day",hội thi thể thao,Vận - Động - Hội
26-11,26,11,盆踊り,ぼんおどり,bon'odori,Bon Festival dance,múa bon,Bồn - Dược
26-12,26,12,,フリーマーケット,furiimāketto,flea market,,
26-13,26,13,場所,ばしょ,basho,place,"địa điểm, nơi",Trường - Sở
26-14,26,14,,ボランティア,boranteia,volunteer,,
26-15,26,15,財布,さいふ,saifu,"wallet, purse",ví,Tài - Bố
26-16,26,16,,ごみ,gomi,"garbage, rubbish, dust",,
26-17,26,17,国会議事堂,こっかいぎじどう,kokkaigijidō,the Diet Building,tòa nhà quốc hội,Quốc - Hội - Nghị - Sự - Đường
26-18,26,18,平日,へいじつ,heijitsu,weekday,ngày thường,Bình - Nhật
26-19,26,19,～弁,～べん,~ben,～ dialect,,
26-20,26,20,今度,こんど,kondo,"next time, another time",lần tới,Kim - Độ
26-21,26,21,,ずいぶん,zuibun,"very, pretty",,
26-22,26,22,直接,ちょくせつ,chokusetsu,directly,trực tiếp,Trực - Tiếp
26-23,26,23,,いつでも,itsudemo,any time,,
26-24,26,24,,どこでも,dokodemo,anywhere,,
26-25,26,25,,だれでも,daredemo,anybody,,
26-26,26,26,何でも,なんでも,nandemo,anything,cái gì cũng,Hà
26-27,26,27,,こんな ～,konna ~,～ like this,,
26-28,26,28,,そんな ～,sonna ~,～ like that (near the listener),,
26-29,26,29,,あんな ～,anna ~,~ like that (far from both the speaker and the listener),,
26-30,26,30,,エドアストア,edoasutoa,fictitious store,,
26-31,26,31,片づきます［荷物が～］,かたづきます［にもつが～］,katazukimasu [nimotsuga~],"[boxes] be put in order, tidy up",,
26-32,26,32,出します［ごみを～］,だします［ごみを～］,dashimasu [gomiwo~],put out [the rubbish],,
26-33,26,33,燃える ごみ,もえる ごみ,moeru gomi,burnable rubbish,,
26-34,26,34,置き場,おきば,okiba,place where something is put,nơi để,Trí - Trường
26-35,26,35,横,よこ,yoko,side,bên cạnh,Hoành
26-36,26,36,瓶,びん,bin,bottle,chai,Bình
26-37,26,37,缶,かん,kan,can,lon,"Phữu, Phẫu, Phũ"
26-38,26,38,,ガス,gasu,gas,,
26-39,26,39,～会社,～がいしゃ,~gaisha,～ company,,
26-40,26,40,宇宙,うちゅう,uchū,"space, universe",vũ trụ,Vũ - Trụ
26-41,26,41,～様,～さま,~sama,Mr. ～/Ms. ～ (respectful equivalent of ～さん),,
26-42,26,42,宇宙船,うちゅうせん,uchūsen,spaceship,tàu vũ trụ,Vũ - Trụ - Thuyền
26-43,26,43,怖い,こわい,kowai,be afraid of,"sợ, đáng sợ",Bố
26-44,26,44,宇宙ステーション,うちゅうステーション,uchūsutēshon,space station,trạm vũ trụ,Vũ - Trụ
26-45,26,45,違います,ちがいます,chigaimasu,be different,khác nhau,Vi
26-46,26,46,宇宙飛行士,うちゅうひこうし,uchūhikōshi,astronaut,nhà du hành vũ trụ,Vũ - Trụ - Phi - Hành - Sĩ
26-47,26,47,星出彰彦,ほしであきひこ,hoshideakihiko,Japanese astronaut (1968-),,
26-48,26,48,参加します［パーティーに～］,さんかします［パーティーに～］,sankashimasu [pāteiini~],attend [a party],,
26-49,26,49,申し込みます,もうしこみます,mōshikomimasu,"apply for, enter for",đăng ký,Thân - Vô
26-50,26,50,都合が いい,つごうが いい,tsugōga ii,convenient (concerning time),,
26-51,26,51,都合が 悪い,つごうが わるい,tsugōga warui,inconvenient (regarding time),,
26-52,26,52,新聞社,しんぶんしゃ,shinbunsha,"newspaper publishing company, newspaper office",,
26-53,26,53,柔道,じゅうどう,jūdō,judo,"judo, nhu đạo",Nhu - Đạo
26-54,26,54,,NHK,NHK,Nippon Hoso Kyokai (broadcasting company),,
26-55,26,55,こどもの 日,こどもの ひ,kodomono hi,Children's Day,,
26-56,26,56,燃えます［ごみが～］,もえます［ごみが～］,moemasu [gomiga~],[trash] burn,,
26-57,26,57,月・水・金,げっすいきん,gessuikin,"Monday, Wednesday and Friday",,
26-58,26,58,困ったなあ。,こまったなあ。,komattanā.,What shall I do?,,
26-59,26,59,電子メール,でんしメール,denshimēru,electronic mail,,
26-60,26,60,別の,べつの,betsuno,another,,
26-61,26,61,土井隆雄,どいたかお,doitakao,Japanese astronaut (1955-),,
