id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
21-1,21,1,思います,おもいます,omoimasu,think,nghĩ,Tư
21-2,21,2,言います,いいます,iimasu,say,"nói, kể",Ngôn
21-3,21,3,勝ちます,かちます,kachimasu,win,thắng,Thắng
21-4,21,4,負けます,まけます,makemasu,"lose, be beaten",thua,Phụ
21-5,21,5,あります［お祭りが～］,あります［おまつりが～］,arimasu [omatsuriga~],"[a festival] be held, take place",,
21-6,21,6,役に 立ちます,やくに たちます,yakuni tachimasu,be useful,,
21-7,21,7,動きます,うごきます,ugokimasu,"move, work","chuyển động, chạy",Động
21-8,21,8,気を つけます,きを つけます,kiwo tsukemasu,"pay attention, take care",,
21-9,21,9,留学します,りゅうがくします,ryūgakushimasu,study abroad,du học,Lưu - Học
21-10,21,10,,むだ［な］,muda [na],wasteful,,
21-11,21,11,不便［な］,ふべん［な］,fuben [na],inconvenient,,
21-12,21,12,,すごい,sugoi,"awful, great (expresses astonishment or admiration)",,
21-13,21,13,,ほんとう,hontō,true,,
21-14,21,14,,うそ,uso,lie,,
21-15,21,15,自動車,じどうしゃ,jidōsha,"car, automobile","ô tô, xe hơi",Tự - Động - Xa
21-16,21,16,交通,こうつう,kōtsū,"transport, traffic",giao thông,Giao - Thông
21-17,21,17,物価,ぶっか,bukka,[commodity] prices,"giá cả, mức giá, vật giá",Vật - Giá
21-18,21,18,放送,ほうそう,hōsō,[commodity] prices,"phát, phát thanh",Phóng - Tống
21-19,21,19,,ニュース,nyūsu,news,,
21-20,21,20,,アニメ,anime,anime (Japanese animated film),,
21-21,21,21,,マンガ,manga,comic book,,
21-22,21,22,,デザイン,dezain,"design, artwork",,
21-23,21,23,夢,ゆめ,yume,dream,giấc mơ,Mộng
21-24,21,24,天才,てんさい,tensai,genius,thiên tài,Thiên - Tài
21-25,21,25,試合,しあい,shiai,"game, match (～を します : play a game/match)",trận đấu,Thí - Hợp
21-26,21,26,意見,いけん,iken,opinion,ý kiến,Ý - Kiến
21-27,21,27,話,はなし,hanashi,"talk, speech, what one says, story (～を します : talk, tell a story)","câu chuyện, bài nói chuyện",Thoại
21-28,21,28,地球,ちきゅう,chikyū,earth,"trái đất, địa cầu",Địa - Cầu
21-29,21,29,月,つき,tsuki,moon,mặt trăng,Nguyệt
21-30,21,30,最近,さいきん,saikin,"recently, these days",gần đây,Tối - Cận
21-31,21,31,,たぶん,tabun,"probably, perhaps, maybe",,
21-32,21,32,,きっと,kitto,"surely, definitely",,
21-33,21,33,,ほんとうに,hontōni,really,,
21-34,21,34,,そんなに,sonnani,not so (used with negatives),,
21-35,21,35,,～に ついて,~ni tsuite,"about ～, concerning ～",,
21-36,21,36,久しぶりですね。,ひさしぶりですね。,hisashiburidesune.,It's been a long time [since we last met].,,
21-37,21,37,～でも 飲みませんか。,～でも のみませんか。,~demo nomimasenka.,How about drinking ～ or something?,,
21-38,21,38,,もちろん,mochiron,of course,,
21-39,21,39,もう 帰らないと……。,もう かえらないと……。,mō kaeranaito…….,I have to get home now......,,
21-40,21,40,,アインシュタイン,ainshutain,Albert Einstein (1879-1955),,
21-41,21,41,,ガガーリン,gagārin,Yuri Alekseyevich Gagarin (1934-1968),,
21-42,21,42,,ガリレオ,garireo,Galileo Galilei (1564-1642),,
21-43,21,43,キング牧師,キングぼくし,kingubokushi,"Martin Luther King, Jr. (1929-1968)",,
21-44,21,44,,フランクリン,furankurin,Benjamin Franklin (1706-1790),,
21-45,21,45,かぐや姫,かぐやひめ,kaguyahime,Princess Kaguya (heroine of the old Japanese folk tale 'Taketori Monogatari'),,
21-46,21,46,天神祭,てんじんまつり,tenjinmatsuri,Tenjin Festival (a festival in Osaka),,
21-47,21,47,吉野山,よしのやま,yoshinoyama,Mt. Yoshino (a mountain in Nara Prefecture),,
21-48,21,48,,カンガルー,kangarū,kangaroo,,
21-49,21,49,,キャプテン・クック,kyaputen kukku,Captain James Cook (1728-1779),,
21-50,21,50,,ヨーネン,yōnen,a fictitious company,,
21-51,21,51,足ります,たります,tarimasu,"be enough, be sufficient","đủ, đầy đủ",Túc
21-52,21,52,同じ,おなじ,onaji,the same,giống,Đồng
21-53,21,53,首相,しゅしょう,shushō,prime minister,thủ tướng,Thủ - Tướng
21-54,21,54,大統領,だいとうりょう,daitōryō,president,tổng thống,Đại - Thống - Lĩnh
21-55,21,55,政治,せいじ,seiji,politics,chính trị,Chính - Trị
21-56,21,56,,スピーチ,supiichi,"speech (～を します : talk, tell a story)",,
21-57,21,57,,アルバイト,arubaito,side job (～を します : work part time),,
21-58,21,58,,ユーモア,yūmoa,humor,,
21-59,21,59,,むだ,muda,waste,,
21-60,21,60,,ラッシュ,rasshu,rush hour,,
21-61,21,61,,しかたが ありません。,shikataga arimasen.,There is no other choice./It can't be helped.,,
21-62,21,62,,しばらくですね。,shibarakudesune.,It's been a long time (since I last saw you)./Long time no see.,,
21-63,21,63,見ないと……。,みないと……。,minaito…….,I've got to watch it.,,
