id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
48-1,48,1,降ろします、下ろします,おろします,oroshimasu,"put down, lower, unload",lấy xuống,Giáng
48-2,48,2,届ける,とどけます,todokemasu,deliver,"đưa đến, chuyển đến",Giới
48-3,48,3,録音します,ろくおんします,rokuonshimasu,record,ghi âm,Lục - Âm
48-4,48,4,嫌［な］,いや［な］,iya [na],"unwilling, reluctant",,
48-5,48,5,塾,じゅく,juku,cram school,"lò luyện thi, nơi học thêm",Thục
48-6,48,6,生徒,せいと,seito,pupil,"học sinh, học trò",Sinh - Đồ
48-7,48,7,～間,～かん,~kan,for ～ (referring to duration),,
48-8,48,8,,いい ことですね。,ii kotodesune.,That's good.,,
48-9,48,9,お忙しいですか。,おいそがしいですか。,oisogashiidesuka.,Are you busy? (used when talking to someone senior or older),,
48-10,48,10,営業,えいぎょう,eigyō,"business, sales",kinh doanh,Doanh - Nghiệp
48-11,48,11,,それまでに,soremadeni,by that time,,
48-12,48,12,,かまいません。,kamaimasen.,It's all right./I don't mind.,,
48-13,48,13,楽しみます,たのしみます,tanoshimimasu,enjoy oneself,tận hưởng,Lạc
48-14,48,14,親,おや,oya,parent,bố mẹ,Thân
48-15,48,15,小学生,しょうがくせい,shōgakusei,"pupil, elementary schoolchild",học sinh tiểu học,Tiểu - Học - Sinh
48-16,48,16,,－パーセント,-pāsento,－ percent,,
48-17,48,17,その 次,その つぎ,sono tsugi,next,,
48-18,48,18,習字,しゅうじ,shūji,calligraphy,"sự tập viết, học viết chữ bằng bút lông",Tập - Tự
48-19,48,19,普通の,ふつうの,futsūno,"normal, usual","thông thường, bình thường",Phổ - Thông
48-20,48,20,,スケジュール,sukejūru,schedule,,
48-21,48,21,者,もの,mono,person (referring to one's relatives or subordinates),vật. đồ vật,Vật
48-22,48,22,入管,にゅうかん,nyūkan,Immigration Bureau,,
48-23,48,23,再入国ビザ,さいにゅうこくビザ,sainyūkokubiza,re-entry visa,,
48-24,48,24,久しぶり,ひさしぶり,hisashiburi,after a long time,,
48-25,48,25,代わりを します,かわりを します,kawariwo shimasu,"be a substitute, be a replacement",,
48-26,48,26,,スピード,supiido,speed,,
48-27,48,27,競走します,きょうそうします,kyōsōshimasu,race,,
48-28,48,28,,サーカス,sākasu,circus,,
48-29,48,29,芸,げい,gei,"performance, trick",,
48-30,48,30,姿,すがた,sugata,"figure, appearance",,
48-31,48,31,心,こころ,kokoro,"heart, mind",,
48-32,48,32,,とらえます,toraemasu,catch,,
48-33,48,33,,～に よって,~ni yotte,for ～,,
