id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
5-1,5,1,行ます,いきます,ikimasu,go,đi,Hành
5-2,5,2,来ます,きます,kimasu,come,"mặc (áo sơ mi,...)",Trước
5-3,5,3,帰ります,かえります,kaerimasu,"go home, return",về,Quy
5-4,5,4,学校,がっこう,gakkō,school,trường học,Học - Hiệu
5-5,5,5,,スーパー,sūpā,supermarket,,
5-6,5,6,駅,えき,eki,station,nhà ga,Dịch
5-7,5,7,飛行機,ひこうき,hikōki,"aeroplane, airplane",máy bay,Phi - Hành - Cơ
5-8,5,8,船,ふね,fune,ship,"thuyền, tàu thủy",Thuyền
5-9,5,9,電車,でんしゃ,densha,electric train,tàu điện,Điện - Xa
5-10,5,10,地下鉄,ちかてつ,chikatetsu,"underground, subway",tàu điện ngầm,Địa - Hạ - Thiết
5-11,5,11,新幹線,しんかんせん,shinkansen,"the Shinkansen, the bullet train",tàu siêu tốc,Tân - Can - Tuyến
5-12,5,12,,バス,basu,bus,,
5-13,5,13,,タクシー,takushii,taxi,,
5-14,5,14,自転車,じてんしゃ,jitensha,bicycle,xe đạp,Tự - Chuyển - Xa
5-15,5,15,歩いて,あるいて,aruite,on foot,đi bộ,Bộ
5-16,5,16,人,ひと,hito,"person, people",người,Nhân
5-17,5,17,友達,ともだち,tomodachi,friend,bạn bè,Hữu - Đạt
5-18,5,18,彼,かれ,kare,"he, boyfriend, lover",anh ấy,Bỉ
5-19,5,19,彼女,かのじょ,kanojo,"she, girlfriend, lover",chị ấy,Bỉ - Nữ
5-20,5,20,家族,かぞく,kazoku,family,gia đình,Gia - Tộc
5-21,5,21,一人で,ひとりで,hitoride,"alone, by oneself",một mình,Nhất - Nhân
5-22,5,22,先週,せんしゅう,senshū,last week,tuần trước,Tiên - Chu
5-23,5,23,今週,こんしゅう,konshū,this week,tuần này,Kim - Chu
5-24,5,24,来週,らいしゅう,raishū,next week,tuần sau,Lai - Chu
5-25,5,25,先月,せんげつ,sengetsu,last month,tháng trước,Tiên - Nguyệt
5-26,5,26,今月,こんげつ,kongetsu,this month,tháng này,Kim - Nguyệt
5-27,5,27,来月,らいげつ,raigetsu,next month,tháng sau,Lai - Nguyệt
5-28,5,28,去年,きょねん,kyonen,last year,năm ngoái,Khứ - Niên
5-29,5,29,,ことし,kotoshi,this year,năm nay,Kim - Niên
5-30,5,30,来年,らいねん,rainen,next year,sang năm,Lai - Niên
5-31,5,31,－年,－ねん,-nen,-th year,,
5-32,5,32,何年,なんねん,nannen,what year,năm mấy,Hà - Niên
5-33,5,33,－月,－がつ,-gatsu,-th month of the year,,
5-34,5,34,何月,なんがつ,nangatsu,what month,tháng mấy,Hà - Nguyệt
5-35,5,35,１日,ついたち,tsuitachi,first day of the month,,
5-36,5,36,２日,ふつか,futsuka,"second, two days",,
5-37,5,37,３日,みっか,mikka,"third, three days",,
5-38,5,38,４日,よっか,yokka,"fourth, four days",,
5-39,5,39,５日,いつか,itsuka,"fifth, five days",,
5-40,5,40,６日,むいか,muika,"sixth, six days",,
5-41,5,41,７日,なのか,nanoka,"seventh, seven days",,
5-42,5,42,８日,ようか,youka,"eighth, eight days",,
5-43,5,43,９日,ここのか,kokonoka,"ninth, nine days",,
5-44,5,44,１０日,とおか,tooka,"tenth, ten days",,
5-45,5,45,１４日,じゅうよっか,juuyokka,"fourteenth, fourteen days",,
5-46,5,46,２０日,はつか,hatsuka,"twentieth, twenty days",,
5-47,5,47,２４日,にじゅうよっか,nijuuyokka,"twenty-fourth, twenty-four days",,
5-48,5,48,－日,－にち,-nichi,"-th day of the month, － day(s)",,
5-49,5,49,何日,なんにち,nannichi,"which day of the month, how many days",ngày mấy,Hà - Nhật
5-50,5,50,,いつ,itsu,when,,
5-51,5,51,誕生日,たんじょうび,tanjōbi,birthday,ngày sinh nhật,Đản - Sinh - Nhật
5-52,5,52,,そうですね。,sōdesune.,"Yes, it is.",,
5-53,5,53,,どう いたしまして。,dō itashimashite.,You're welcome./Don't mention it.,,
5-54,5,54,－番線,－ばんせん,-bansen,"platform －, -th platform",,
5-55,5,55,次の,つぎの,tsugino,next,tiếp theo,Thứ
5-56,5,56,普通,ふつう,futsū,local (train),"thông thường, phổ thông",Phổ - Thông
5-57,5,57,急行,きゅうこう,kyūkō,rapid,tàu tốc hành,Cấp - Hành
5-58,5,58,特急,とっきゅう,tokkyū,express,,
5-59,5,59,甲子園,こうしえん,kōshien,name of a town near Osaka,,
5-60,5,60,大阪城,おおさかじょう,ōsakajō,"Osaka Castle, a famous castle in Osaka",,
5-61,5,61,博多,はかた,hakata,name of a town in Kyushu,,
5-62,5,62,伏見,ふしみ,fushimi,name of a town in Kyoto,,
